individual,stim_order,stimulus,stim_repeat,length,response
1,2,Control,1,11,0
1,11,Control,2,11,0
1,14,Control,3,11,0
1,21,Control,4,11,0
1,23,Control,5,11,0
2,3,Control,1,9,0
2,15,Control,2,9,0
2,17,Control,3,9,0
2,22,Control,4,9,0
2,24,Control,5,9,0
3,2,Control,1,9,0
3,10,Control,2,9,0
3,16,Control,3,9,0
3,17,Control,4,9,0
3,19,Control,5,9,0
4,5,Control,1,8,0
4,10,Control,2,8,0
4,15,Control,3,8,0
4,19,Control,4,8,0
4,21,Control,5,8,0
5,1,Control,1,9,0
5,4,Control,2,9,0
5,10,Control,3,9,0
5,16,Control,4,9,0
5,17,Control,5,9,0
6,5,Control,1,12,1
6,10,Control,2,12,0
6,15,Control,3,12,0
6,19,Control,4,12,0
6,21,Control,5,12,0
7,1,Control,1,10,0
7,4,Control,2,10,0
7,10,Control,3,10,0
7,16,Control,4,10,0
7,17,Control,5,10,0
8,5,Control,1,11,0
8,6,Control,2,11,0
8,9,Control,3,11,0
8,13,Control,4,11,0
8,19,Control,5,11,0
9,6,Control,1,10,0
9,7,Control,2,10,0
9,10,Control,3,10,0
9,13,Control,4,10,0
9,20,Control,5,10,0
10,2,Control,1,12,0
10,11,Control,2,12,0
10,14,Control,3,12,0
10,21,Control,4,12,0
10,23,Control,5,12,0
11,3,Control,1,8,0
11,15,Control,2,8,0
11,17,Control,3,8,0
11,22,Control,4,8,0
11,24,Control,5,8,0
12,2,Control,1,9,0
12,10,Control,2,9,0
12,16,Control,3,9,0
12,17,Control,4,9,0
12,19,Control,5,9,0
15,5,Control,1,8,0
15,6,Control,2,8,0
15,9,Control,3,8,0
15,13,Control,4,8,0
15,19,Control,5,8,0
16,6,Control,1,10,0
16,7,Control,2,10,0
16,10,Control,3,10,0
16,13,Control,4,10,0
16,20,Control,5,10,0
17,2,Control,1,10,0
17,11,Control,2,10,0
17,14,Control,3,10,0
17,21,Control,4,10,0
17,23,Control,5,10,0
18,3,Control,1,9,0
18,15,Control,2,9,0
18,17,Control,3,9,0
18,22,Control,4,9,0
18,24,Control,5,9,0
19,5,Control,1,12,0
19,10,Control,2,12,0
19,12,Control,3,12,0
19,13,Control,4,12,0
19,24,Control,5,12,0
20,1,Control,1,10,0
20,2,Control,2,10,0
20,4,Control,3,10,0
20,14,Control,4,10,0
20,17,Control,5,10,0
21,3,Control,1,11,0
21,10,Control,2,11,0
21,15,Control,3,11,0
21,17,Control,4,11,0
21,18,Control,5,11,0
22,3,Control,1,11,0
22,15,Control,2,11,0
22,17,Control,3,11,0
22,22,Control,4,11,0
22,24,Control,4,11,0
23,5,Control,1,10,0
23,7,Control,2,10,0
23,16,Control,3,10,0
23,22,Control,4,10,0
23,23,Control,5,10,0
24,1,Control,1,10,0
24,2,Control,2,10,0
24,4,Control,3,10,0
24,14,Control,3,10,0
24,17,Control,4,10,0
25,8,Control,1,12,0
25,14,Control,2,12,0
25,17,Control,3,12,0
25,20,Control,4,12,0
25,21,Control,5,12,0
26,8,Control,1,9,0
26,14,Control,2,9,0
26,17,Control,3,9,0
