chiton,length,stimulus,response,experiment
1,11,Black,1,first
1,11,Black,1,first
1,11,White,1,first
1,11,White,0,first
1,11,Black,1,first
1,11,White,0,first
1,11,White,0,first
1,11,Black,1,first
1,11,White,1,first
1,11,Black,1,first
2,4,White,0,first
2,4,White,0,first
2,4,Black,0,first
2,4,White,1,first
2,4,Black,1,first
2,4,White,1,first
2,4,Black,1,first
2,4,White,1,first
2,4,Black,1,first
2,4,Black,1,first
3,9,Black,1,first
3,9,White,0,first
3,9,Black,1,first
3,9,Black,1,first
3,9,Black,1,first
3,9,White,1,first
3,9,Black,1,first
3,9,White,0,first
3,9,White,0,first
3,9,White,0,first
4,9,Black,1,first
4,9,Black,1,first
4,9,White,0,first
4,9,White,0,first
4,9,White,0,first
4,9,Black,1,first
4,9,Black,1,first
4,9,White,1,first
4,9,Black,1,first
4,9,White,0,first
5,6,White,0,first
5,6,White,0,first
5,6,Black,1,first
5,6,Black,1,first
5,6,Black,1,first
5,6,White,0,first
5,6,Black,1,first
5,6,White,0,first
5,6,White,0,first
5,6,Black,1,first
6,6,White,0,first
6,6,White,0,first
6,6,Black,0,first
6,6,Black,1,first
6,6,White,0,first
6,6,Black,1,first
6,6,Black,1,first
6,6,White,0,first
6,6,Black,0,first
6,6,White,0,first
7,5,Black,1,first
7,5,White,0,first
7,5,Black,1,first
7,5,White,0,first
7,5,White,0,first
7,5,Black,0,first
7,5,Black,1,first
7,5,Black,1,first
7,5,White,0,first
7,5,White,0,first
8,6,Black,1,first
8,6,Black,1,first
8,6,Black,1,first
8,6,White,0,first
8,6,White,1,first
8,6,Black,0,first
8,6,Black,1,first
8,6,White,1,first
8,6,White,0,first
8,6,White,0,first
9,8,White,0,first
9,8,White,0,first
9,8,Black,1,first
9,8,White,0,first
9,8,Black,1,first
9,8,Black,1,first
9,8,White,0,first
9,8,White,1,first
9,8,Black,1,first
9,8,Black,1,first
10,7,White,0,first
10,7,Black,1,first
10,7,Black,1,first
10,7,White,0,first
10,7,Black,1,first
10,7,Black,0,first
10,7,Black,0,first
10,7,White,0,first
10,7,White,1,first
10,7,White,0,first
11,4,White,0,first
11,4,White,0,first
11,4,Black,1,first
11,4,Black,1,first
