chiton,length,stimulus,response,,,,,,,,,
41,10,Even Background,0,1,,,,,,,,
41,10,Black,1,2,,,,,,,,
41,10,Even Background,0,3,,,,,,,,
41,10,Black,1,4,,,,,,,,
41,10,Black,1,5,,,,,,,,
41,10,Black,1,6,,,,,,,,
41,10,Even Background,1,7,,,,,,,,
41,10,Even Background,1,8,,,,,,,,
41,10,Even Background,0,9,,,,,,,,
41,10,Black,1,10,,,,,,,,
41,10,Even Black,1,11,,,,,,,,
41,10,Even Black,1,12,,,,,,,,
41,10,Even Black,0,13,,,,,,,,
41,10,Even Black,1,14,,,,,,,,
41,10,Even Black,1,15,,,,,,,,
42,11,Even Background,0,16,,,,,,,,
42,11,Even Background,0,17,,,,,,,,
42,11,Even Background,0,18,,,,,,,,
42,11,Black,1,19,,,,,,,,
42,11,Black,1,20,,,,,,,,
42,11,Black,0,21,,,,,,,,
42,11,Even Background,1,22,,,,,,,,
42,11,Black,1,23,,,,,,,,
42,11,Black,1,24,,,,,,,,
42,11,Even Background,0,25,,,,,,,,
42,11,Even Black,0,26,,,,,,,,
42,11,Even Black,1,27,,,,,,,,
42,11,Even Black,0,28,,,,,,,,
42,11,Even Black,0,29,,,,,,,,
42,11,Even Black,1,30,,,,,,,,
43,11,Black,1,31,,,,,,,,
43,11,Even Background,0,32,,,,,,,,
43,11,Black,1,33,,,,,,,,
43,11,Even Background,1,34,,,,,,,,
43,11,Even Background,0,35,,,,,,,,
43,11,Black,1,36,,,,,,,,
43,11,Even Background,0,37,,,,,,,,
43,11,Even Background,0,38,,,,,,,,
43,11,Black,1,39,,,,,,,,
43,11,Black,0,40,,,,,,,,
43,11,Even Black,0,41,,,,,,,,
43,11,Even Black,1,42,,,,,,,,
43,11,Even Black,1,43,,,,,,,,
43,11,Even Black,1,44,,,,,,,,
43,11,Even Black,1,45,,,,,,,,
44,10,Even Background,1,46,,,,,,,,
44,10,Black,1,47,,,,,,,,
44,10,Even Background,1,48,,,,,,,,
44,10,Black,1,49,,,,,,,,
44,10,Even Background,1,50,,,,,,,,
44,10,Black,1,51,,,,,,,,
44,10,Even Background,1,52,,,,,,,,
44,10,Black,1,53,,,,,,,,
44,10,Black,1,54,,,,,,,,
44,10,Even Background,1,55,,,,,,,,
44,10,Even Black,1,56,,,,,,,,
44,10,Even Black,1,57,,,,,,,,
44,10,Even Black,1,58,,,,,,,,
44,10,Even Black,1,59,,,,,,,,
44,10,Even Black,1,60,,,,,,,,
45,12,Black,1,61,,,,,,,,
45,12,Even Background,0,62,,,,,,,,
45,12,Black,1,63,,,,,,,,
45,12,Black,1,64,,,,,,,,
45,12,Black,1,65,,,,,,,,
45,12,Even Background,0,66,,,,,,,,
45,12,Even Background,0,67,,,,,,,,
45,12,Even Background,1,68,,,,,,,,
45,12,Even Background,1,69,,,,,,,,
45,12,Black,1,70,,,,,,,,
45,12,Even Black,1,71,,,,,,,,
45,12,Even Black,1,72,,,,,,,,
45,12,Even Black,1,73,,,,,,,,
45,12,Even Black,1,74,,,,,,,,
45,12,Even Black,0,75,,,,,,,,
46,6,Even Background,1,76,,,,,,,,
46,6,Even Black,1,77,,,,,,,,
46,6,Black,1,78,,,,,,,,
46,6,Black,1,79,,,,,,,,
46,6,Even Black,0,80,,,,,,,,
46,6,Black,1,81,,,,,,,,
46,6,Black,1,82,,,,,,,,
46,6,Even Background,1,83,,,,,,,,
46,6,Even Black,0,84,,,,,,,,
46,6,Even Background,0,85,,,,,,,,
46,6,Even Black,0,86,,,,,,,,
46,6,Even Background,1,87,,,,,,,,
46,6,Black,1,88,,,,,,,,
46,6,Even Background,1,89,,,,,,,,
46,6,Even Black,0,90,,,,,,,,
47,9,Black,0,91,,,,,,,,
47,9,Even Black,0,92,,,,,,,,
47,9,Black,1,93,,,,,,,,
47,9,Even Background,0,94,,,,,,,,
47,9,Even Black,1,95,,,,,,,,
47,9,Even Background,0,96,,,,,,,,
47,9,Black,1,97,,,,,,,,
47,9,Even Black,1,98,,,,,,,,
47,9,Black,1,99,,,,,,,,
47,9,Black,1,100,,,,,,,,
47,9,Even Background,0,101,,,,,,,,
47,9,Even Black,0,102,,,,,,,,
47,9,Even Background,0,103,,,,,,,,
47,9,Even Background,0,104,,,,,,,,
47,9,Even Black,0,105,,,,,,,,
49,4,Even Black,0,106,,,,,,,,
49,4,Even Background,1,107,,,,,,,,
49,4,Even Background,0,108,,,,,,,,
49,4,Even Background,1,109,,,,,,,,
49,4,Black,1,110,,,,,,,,
49,4,Even Black,0,111,,,,,,,,
49,4,Even Background,0,112,,,,,,,,
49,4,Even Black,1,113,,,,,,,,
49,4,Black,1,114,,,,,,,,
49,4,Black,1,115,,,,,,,,
49,4,Black,0,116,,,,,,,,
49,4,Even Black,1,117,,,,,,,,
49,4,Black,1,118,,,,,,,,
49,4,Even Black,0,119,,,,,,,,
49,4,Even Background,1,120,,,,,,,,
50,4,Even Background,0,121,,,,,,,,
50,4,Black,1,122,,,,,,,,
50,4,Even Black,0,123,,,,,,,,
50,4,Even Background,1,124,,,,,,,,
50,4,Black,1,125,,,,,,,,
50,4,Even Black,1,126,,,,,,,,
50,4,Black,1,127,,,,,,,,
50,4,Even Black,1,128,,,,,,,,
50,4,Even Background,1,129,,,,,,,,
50,4,Even Black,1,130,,,,,,,,
50,4,Black,1,131,,,,,,,,
50,4,Even Black,1,132,,,,,,,,
50,4,Even Background,1,133,,,,,,,,
