individual,length,size,stimulus,stim_order,response,treatment,stimulus_treat,stim
101,7,medium,0,8,0,Valve,Valve Control,Control
101,7,medium,0,17,0,Valve,Valve Control,Control
101,7,medium,0,25,0,Valve,Valve Control,Control
102,5,small,0,4,0,Valve,Valve Control,Control
102,5,small,0,10,1,Valve,Valve Control,Control
102,5,small,0,14,0,Valve,Valve Control,Control
103,4,small,0,7,0,Valve,Valve Control,Control
103,4,small,0,10,0,Valve,Valve Control,Control
103,4,small,0,15,0,Valve,Valve Control,Control
104,5,small,0,7,0,Valve,Valve Control,Control
104,5,small,0,10,0,Valve,Valve Control,Control
104,5,small,0,15,0,Valve,Valve Control,Control
105,6,small,0,8,0,Valve,Valve Control,Control
105,6,small,0,17,0,Valve,Valve Control,Control
105,6,small,0,25,0,Valve,Valve Control,Control
106,7,medium,0,7,0,Valve,Valve Control,Control
106,7,medium,0,10,0,Valve,Valve Control,Control
106,7,medium,0,15,0,Valve,Valve Control,Control
107,9,medium,0,8,0,Valve,Valve Control,Control
107,9,medium,0,17,0,Valve,Valve Control,Control
107,9,medium,0,25,0,Valve,Valve Control,Control
108,7,medium,0,4,0,Valve,Valve Control,Control
108,7,medium,0,27,0,Valve,Valve Control,Control
108,7,medium,0,33,0,Valve,Valve Control,Control
109,6,small,0,4,0,Valve,Valve Control,Control
109,6,small,0,10,0,Valve,Valve Control,Control
109,6,small,0,14,1,Valve,Valve Control,Control
110,10,large,0,4,0,Valve,Valve Control,Control
110,10,large,0,18,0,Valve,Valve Control,Control
110,10,large,0,28,0,Valve,Valve Control,Control
111,8,medium,0,2,0,Valve,Valve Control,Control
111,8,medium,0,12,0,Valve,Valve Control,Control
111,8,medium,0,33,0,Valve,Valve Control,Control
112,7,medium,0,1,0,Valve,Valve Control,Control
112,7,medium,0,9,0,Valve,Valve Control,Control
112,7,medium,0,29,0,Valve,Valve Control,Control
113,7,medium,0,5,0,Valve,Valve Control,Control
113,7,medium,0,7,0,Valve,Valve Control,Control
113,7,medium,0,33,0,Valve,Valve Control,Control
114,13,xlarge,0,6,0,Valve,Valve Control,Control
114,13,xlarge,0,9,0,Valve,Valve Control,Control
114,13,xlarge,0,10,0,Valve,Valve Control,Control
115,14,xlarge,0,10,0,Valve,Valve Control,Control
115,14,xlarge,0,16,0,Valve,Valve Control,Control
115,14,xlarge,0,28,0,Valve,Valve Control,Control
116,13,xlarge,0,4,0,Valve,Valve Control,Control
116,13,xlarge,0,18,0,Valve,Valve Control,Control
116,13,xlarge,0,28,0,Valve,Valve Control,Control
117,5,small,0,10,0,Valve,Valve Control,Control
117,5,small,0,19,0,Valve,Valve Control,Control
117,5,small,0,30,0,Valve,Valve Control,Control
118,5,small,0,7,0,Valve,Valve Control,Control
118,5,small,0,10,0,Valve,Valve Control,Control
118,5,small,0,15,0,Valve,Valve Control,Control
119,12,large,0,8,0,Valve,Valve Control,Control
119,12,large,0,17,0,Valve,Valve Control,Control
119,12,large,0,25,0,Valve,Valve Control,Control
120,12,large,0,4,0,Valve,Valve Control,Control
120,12,large,0,27,1,Valve,Valve Control,Control
120,12,large,0,33,0,Valve,Valve Control,Control
121,7,medium,0,4,0,Valve,Valve Control,Control
121,7,medium,0,27,0,Valve,Valve Control,Control
121,7,medium,0,33,0,Valve,Valve Control,Control
122,10,large,0,4,0,Valve,Valve Control,Control
122,10,large,0,10,0,Valve,Valve Control,Control
122,10,large,0,14,0,Valve,Valve Control,Control
123,9,medium,0,14,0,Valve,Valve Control,Control
123,9,medium,0,15,0,Valve,Valve Control,Control
123,9,medium,0,17,0,Valve,Valve Control,Control
124,7,medium,0,14,0,Valve,Valve Control,Control
124,7,medium,0,15,1,Valve,Valve Control,Control
124,7,medium,0,17,0,Valve,Valve Control,Control
125,6,small,0,1,0,Valve,Valve Control,Control
125,6,small,0,17,0,Valve,Valve Control,Control
125,6,small,0,33,0,Valve,Valve Control,Control
126,7,medium,0,4,0,Valve,Valve Control,Control
126,7,medium,0,27,0,Valve,Valve Control,Control
126,7,medium,0,33,0,Valve,Valve Control,Control
127,12,large,0,4,0,Valve,Valve Control,Control
127,12,large,0,10,0,Valve,Valve Control,Control
127,12,large,0,14,0,Valve,Valve Control,Control
128,6,small,0,8,0,Valve,Valve Control,Control
128,6,small,0,17,0,Valve,Valve Control,Control
128,6,small,0,25,0,Valve,Valve Control,Control
129,8,medium,0,4,0,Valve,Valve Control,Control
129,8,medium,0,10,0,Valve,Valve Control,Control
129,8,medium,0,14,0,Valve,Valve Control,Control
130,14,xlarge,0,4,0,Valve,Valve Control,Control
130,14,xlarge,0,10,0,Valve,Valve Control,Control
130,14,xlarge,0,14,0,Valve,Valve Control,Control
131,7,medium,0,4,0,Valve,Valve Control,Control
131,7,medium,0,18,1,Valve,Valve Control,Control
131,7,medium,0,28,0,Valve,Valve Control,Control
132,13,xlarge,0,4,0,Valve,Valve Control,Control
132,13,xlarge,0,18,0,Valve,Valve Control,Control
132,13,xlarge,0,28,0,Valve,Valve Control,Control
133,7,medium,0,1,0,Valve,Valve Control,Control
133,7,medium,0,17,0,Valve,Valve Control,Control
133,7,medium,0,33,0,Valve,Valve Control,Control
134,7,medium,0,2,0,Valve,Valve Control,Control
134,7,medium,0,12,0,Valve,Valve Control,Control
134,7,medium,0,33,0,Valve,Valve Control,Control
135,9,medium,0,1,0,Valve,Valve Control,Control
135,9,medium,0,9,0,Valve,Valve Control,Control
135,9,medium,0,29,0,Valve,Valve Control,Control
136,7,medium,0,6,0,Valve,Valve Control,Control
136,7,medium,0,9,0,Valve,Valve Control,Control
136,7,medium,0,10,0,Valve,Valve Control,Control
137,16,xlarge,0,9,0,Valve,Valve Control,Control
137,16,xlarge,0,20,0,Valve,Valve Control,Control
137,16,xlarge,0,25,0,Valve,Valve Control,Control
138,9,medium,0,3,1,Valve,Valve Control,Control
138,9,medium,0,8,0,Valve,Valve Control,Control
138,9,medium,0,16,0,Valve,Valve Control,Control
139,9,medium,0,6,0,Valve,Valve Control,Control
139,9,medium,0,20,0,Valve,Valve Control,Control
139,9,medium,0,26,0,Valve,Valve Control,Control
140,11,large,0,7,0,Valve,Valve Control,Control
140,11,large,0,10,0,Valve,Valve Control,Control
140,11,large,0,15,0,Valve,Valve Control,Control
141,6,small,0,4,0,Valve,Valve Control,Control
141,6,small,0,10,0,Valve,Valve Control,Control
141,6,small,0,14,0,Valve,Valve Control,Control
142,6,small,0,4,0,Valve,Valve Control,Control
142,6,small,0,18,0,Valve,Valve Control,Control
142,6,small,0,28,0,Valve,Valve Control,Control
143,8,medium,0,1,0,Valve,Valve Control,Control
143,8,medium,0,17,0,Valve,Valve Control,Control
143,8,medium,0,33,0,Valve,Valve Control,Control
144,6,small,0,2,0,Valve,Valve Control,Control
144,6,small,0,12,0,Valve,Valve Control,Control
144,6,small,0,33,0,Valve,Valve Control,Control
145,9,medium,0,1,0,Valve,Valve Control,Control
145,9,medium,0,9,0,Valve,Valve Control,Control
145,9,medium,0,29,0,Valve,Valve Control,Control
146,7,medium,0,8,1,Valve,Valve Control,Control
146,7,medium,0,17,0,Valve,Valve Control,Control
146,7,medium,0,25,0,Valve,Valve Control,Control
147,14,xlarge,0,4,0,Valve,Valve Control,Control
147,14,xlarge,0,10,0,Valve,Valve Control,Control
147,14,xlarge,0,14,0,Valve,Valve Control,Control
148,11,large,0,4,0,Valve,Valve Control,Control
148,11,large,0,18,0,Valve,Valve Control,Control
148,11,large,0,28,0,Valve,Valve Control,Control
149,6,small,0,14,0,Valve,Valve Control,Control
149,6,small,0,15,0,Valve,Valve Control,Control
149,6,small,0,17,0,Valve,Valve Control,Control
150,6,small,0,1,0,Valve,Valve Control,Control
150,6,small,0,17,0,Valve,Valve Control,Control
150,6,small,0,33,0,Valve,Valve Control,Control
151,6,small,0,2,1,Valve,Valve Control,Control
151,6,small,0,12,0,Valve,Valve Control,Control
151,6,small,0,33,0,Valve,Valve Control,Control
152,8,medium,0,1,0,Valve,Valve Control,Control
152,8,medium,0,9,0,Valve,Valve Control,Control
152,8,medium,0,29,0,Valve,Valve Control,Control
153,10,large,0,8,0,Valve,Valve Control,Control
153,10,large,0,17,0,Valve,Valve Control,Control
153,10,large,0,25,0,Valve,Valve Control,Control
154,7,medium,0,4,0,Valve,Valve Control,Control
154,7,medium,0,27,0,Valve,Valve Control,Control
154,7,medium,0,33,0,Valve,Valve Control,Control
155,9,medium,0,4,0,Valve,Valve Control,Control
155,9,medium,0,10,0,Valve,Valve Control,Control
155,9,medium,0,14,0,Valve,Valve Control,Control
156,7,medium,0,14,0,Valve,Valve Control,Control
156,7,medium,0,15,0,Valve,Valve Control,Control
156,7,medium,0,17,0,Valve,Valve Control,Control
157,9,medium,0,1,0,Valve,Valve Control,Control
157,9,medium,0,17,1,Valve,Valve Control,Control
157,9,medium,0,33,0,Valve,Valve Control,Control
158,8,medium,0,2,0,Valve,Valve Control,Control
158,8,medium,0,12,0,Valve,Valve Control,Control
158,8,medium,0,33,0,Valve,Valve Control,Control
159,6,small,0,1,1,Valve,Valve Control,Control
159,6,small,0,9,0,Valve,Valve Control,Control
159,6,small,0,29,0,Valve,Valve Control,Control
160,4,small,0,3,0,Valve,Valve Control,Control
160,4,small,0,11,0,Valve,Valve Control,Control
160,4,small,0,19,0,Valve,Valve Control,Control
